,name,year,size,HardMark,SSD_HDD,price
299,SAMSUNG HD154UI,20Jun,1.4,614.0,0,37.7
300,SAMSUNG HD155UI,20Jun,1.4,735.0,0,79.9
301,SAMSUNG HD160JJ,20Nov,149.0,399.0,0,45.0
302,SAMSUNG HD161GJ,20Feb,149.0,700.0,0,76.8
303,SAMSUNG HD161HJ,20Dec,149.0,447.0,0,119.0
304,SAMSUNG HD163GJ,20Feb,49.0,745.0,0,69.9
305,SAMSUNG HD203WI,20Jan,500.0,599.0,0,205.8
306,SAMSUNG HD204UI,20Nov,1.8,775.0,0,99.0
307,SAMSUNG HD251HJ,20Feb,78.1,549.0,0,36.7
308,SAMSUNG HD253GJ,20Mar,232.8,824.0,0,49.9
309,SAMSUNG HD254GJ,20May,232.6,851.0,0,138.0
310,SAMSUNG HD300LD,20Mar,279.5,299.0,0,160.0
311,SAMSUNG HD400LD,20Mar,58.6,380.0,0,147.0
312,SAMSUNG HD501LJ,20Nov,465.8,476.0,0,73.0
313,SAMSUNG HD502HI,20Mar,465.8,658.0,0,26.5
314,SAMSUNG HD502HJ,20Aug,465.8,862.0,0,31.9
315,SAMSUNG HD502IJ,20Dec,465.6,657.0,0,58.0
316,SAMSUNG HD503HI,20Sep,465.8,648.0,0,62.8
317,SAMSUNG HD753LJ,20Dec,698.6,610.0,0,75.0
318,SAMSUNG HE103SJ,20Dec,931.5,863.0,0,157.9
319,SAMSUNG HE160HJ,20May,149.0,496.0,0,68.0
320,SAMSUNG HE253GJ,20Apr,232.8,858.0,0,125.8
321,SAMSUNG HM100UI,20Nov,931.5,559.0,0,157.9
322,SAMSUNG HM160HC,20Dec,24.4,293.0,0,162.0
323,SAMSUNG HM160HI,20Jan,149.0,367.0,0,12.5
324,SAMSUNG HM161GI,20Jul,148.9,514.0,0,53.0
325,SAMSUNG HM250HI,20Sep,232.9,436.0,0,58.6
326,SAMSUNG HM250HJ,20Nov,218.2,642.0,0,134.0
327,SAMSUNG HM251HI,20Jul,232.9,472.0,0,68.8
328,SAMSUNG HM251JI,20Feb,135.2,289.0,0,157.9
