,name,year,TDP,Price,CPU_Mark,Thread_Mark
407,AMD Ryzen 5 1500X,2017,65.0,228.86,8982,2073
408,AMD Ryzen 5 1600X,2017,95.0,258.86,13132,2196
409,AMD Ryzen 3 1200,2017,65.0,87.2,6319,1922
410,AMD Ryzen 3 1300X,2017,65.0,192.9,7058,2135
411,AMD Ryzen Threadripper 1920X,2017,180.0,301.06,22637,2266
412,AMD Ryzen Threadripper 1950X,2017,180.0,649.99,26793,2293
413,AMD A12-9800E,2017,35.0,121.38,3289,1537
414,AMD Athlon X4 950,2017,65.0,118.86,3656,1596
415,AMD EPYC 7551,2017,180.0,1395.0,19606,1660
416,AMD Ryzen Threadripper 1900X,2017,180.0,224.94,17108,2367
417,AMD A10-9700E,2017,35.0,154.1,2972,1455
418,AMD EPYC 7351P,2017,155.0,1498.0,15792,1691
419,AMD EPYC 7401P,2017,155.0,980.0,21450,1645
420,AMD EPYC 7501,2017,155.0,3353.8,20094,1735
421,AMD EPYC 7451,2018,180.0,2400.0,16718,1873
422,AMD EPYC 7251,2018,120.0,401.36,12529,1448
423,AMD Ryzen 3 2200G,2018,65.0,139.66,6758,2065
